iyear,imonth,iday,approxdate,country_txt,region_txt,provstate,city,latitude,longitude,summary,crit1,doubtterr,success,suicide,attacktype1_txt,attacktype2_txt,attacktype3_txt,targtype1_txt,target1,natlty1_txt,targtype2_txt,target2,natlty2_txt,targtype3_txt,targsubtype3,target3,natlty3_txt,gname,gname2,gname3,motive,nperps,nperpcap,claimmode2_txt,claimmode3_txt,weaptype1_txt,weapsubtype1_txt,weaptype2_txt,weaptype3_txt,weaptype4_txt,nkill,nkillter,nwound,nwoundte,property,propextent_txt,propvalue,ishostkid,nhostkid,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,hostkidoutcome_txt,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,terrorist_category
1971,9,16,1971-09-16,Israel,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,,1,0.0,1,0,Bombing/Explosion,,,Tourists,U.S. Tourists,United States,,,,,,,,Unknown,,,,,,,,Explosives,Unknown Explosive Type,,,,1.0,,11.0,,1,Unknown,,0.0,,,,,,0.0,,,,,,,,-9,-9,1,1,Unknown
1972,1,16,1972-01-16,West Bank and Gaza Strip,Middle East & North Africa,Gaza Strip,Gaza,31.502407,34.459743,,1,-9.0,1,0,Armed Assault,,,Private Citizens & Property,Nurse,United States,,,,,,,,Unknown,,,,,,,,Firearms,Unknown Gun Type,,,,1.0,0.0,3.0,0.0,1,,,0.0,,,,,,0.0,,,,,,,,-9,-9,1,1,Unknown
1972,5,30,1972-05-30,Israel,Middle East & North Africa,Central,Lod,32.004361,34.888229,,1,0.0,1,0,Bombing/Explosion,,,Airports & Aircraft,Aircraft Terminal,Israel,,,,,,,,Japanese Red Army (JRA),,,,5.0,,,,Firearms,Automatic or Semi-Automatic Rifle,Explosives,,,26.0,,72.0,,1,Minor (likely < $1 million),60000.0,0.0,,,,,,0.0,,,,,,,,1,1,0,1,Multiple terrorists
1972,9,20,1972-09-20,Israel,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,"09/20/1972: A letter bomb addressed to Shimon Peres, the Communications Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,0.0,0,0,Assassination,,,Government (General),Minister: Shimon Peres,Israel,,,,,,,,Black September,,,,-99.0,-99.0,,,Explosives,Letter Bomb,,,,0.0,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,,,1,1,0,1,Unknown
1972,9,20,1972-09-20,Israel,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,"09/20/1972: A letter bomb addressed to Dr. M. A. Kurtz, the Ministry of Welfare Director General, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,0.0,0,0,Assassination,,,Government (General),Director General: Dr. M. A. Kurtz,Israel,,,,,,,,Black September,,,,-99.0,-99.0,,,Explosives,Letter Bomb,,,,0.0,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,,,1,1,0,1,Unknown
1972,9,20,1972-09-20,Israel,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,"09/20/1972: A letter bomb addressed to Michael Hazani, the Welfare Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,0.0,0,0,Assassination,,,Government (General),Minister: Michael Hazani,Israel,,,,,,,,Black September,,,,-99.0,-99.0,,,Explosives,Letter Bomb,,,,0.0,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,,,1,1,0,1,Unknown
1972,9,20,1972-09-20,Israel,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,"09/20/1972: A letter bomb addressed to Arie Pincus, a The Jewish Agency executive chairperson, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of two letter bombs addressed to Pincus and one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,0.0,0,0,Assassination,,,NGO,Executive Chairperson: Arie Pincus,Israel,,,,,,,,Black September,,,,-99.0,-99.0,,,Explosives,Letter Bomb,,,,0.0,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,,,1,1,0,1,Unknown
1972,9,20,1972-09-20,Israel,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,"09/20/1972: A letter bomb addressed to Arie Pincus, a The Jewish Agency executive chairperson, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of two letter bombs addressed to Pincus and one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,0.0,0,0,Assassination,,,NGO,Executive Chairperson: Arie Pincus,Israel,,,,,,,,Black September,,,,-99.0,-99.0,,,Explosives,Letter Bomb,,,,0.0,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,,,1,1,0,1,Unknown
1972,9,20,1972-09-20,Israel,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,"09/20/1972: A letter bomb addressed to Dr. Israel Goldstein was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,0.0,0,0,Assassination,,,Private Citizens & Property,Dr. Israel Goldstein,Israel,,,,,,,,Black September,,,,-99.0,-99.0,,,Explosives,Letter Bomb,,,,0.0,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,,,1,1,0,1,Unknown
1972,9,20,1972-09-20,Israel,Middle East & North Africa,Jerusalem,Jerusalem,31.771599,35.2034,"09/20/1972: A letter bomb addressed to Roberto Artzi, a Ministry of Finance employee, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,0.0,0,0,Assassination,,,Government (General),Employee: Roberto Artzi,Israel,,,,,,,,Black September,,,,-99.0,-99.0,,,Explosives,Letter Bomb,,,,0.0,0.0,0.0,0.0,0,,,0.0,,,,,,,,,,,,,,1,1,0,1,Unknown
